lat,lng
36.1594696,-112.7093582
36.15967941,-112.709465
36.15972519,-112.709465
36.15973663,-112.7094879
36.15972519,-112.7095032
36.15974808,-112.7095032
36.15975571,-112.7095108
36.15974045,-112.7095032
36.15974045,-112.7095032
36.15974045,-112.7095032
36.15974426,-112.7094955
36.15975571,-112.709465
36.15979385,-112.7094193
36.15975189,-112.7094803
36.15974808,-112.7094727
36.15973663,-112.7094879
36.15973663,-112.7094879
36.159729,-112.7095032
36.159729,-112.7095032
36.15973282,-112.7095032
36.15973282,-112.7094955
36.15971756,-112.7095032
36.15971756,-112.7095032
36.15974426,-112.7095108
36.15972519,-112.7095261
36.15975952,-112.7094727
36.15982819,-112.7094727
36.15991592,-112.7095642
36.15991592,-112.7095642
36.15996933,-112.709549
36.15995789,-112.7095413
36.16001892,-112.7095032
36.16003036,-112.7094574
36.16003799,-112.7093887
36.16004562,-112.7093658
36.16003799,-112.7092819
36.16010284,-112.7091522
36.16014099,-112.7091599
36.16022491,-112.7093811
36.16030121,-112.7095642
36.16033554,-112.7095261
36.16032028,-112.7092819
36.16033173,-112.7092667
36.16038895,-112.7091904
36.16049576,-112.7091751
36.16057205,-112.7091522
36.16072845,-112.7091217
36.16072083,-112.7088776
36.16082382,-112.7087784
36.16088867,-112.7087784
36.16101837,-112.7088013
36.16119003,-112.7087021
36.16131973,-112.7087021
36.1614418,-112.7087631
36.16145325,-112.7087555
36.16169739,-112.7087097
36.16178894,-112.7087402
36.1618309,-112.7088013
36.16202927,-112.7087021
36.162117,-112.7086182
36.16212845,-112.7086029
36.16225433,-112.7085419
36.16238022,-112.708519
36.16252518,-112.7086639
36.16254044,-112.7086716
36.16276169,-112.7088165
36.16290665,-112.708992
36.16294098,-112.709198
36.1628952,-112.7093964
36.16283798,-112.709549
36.16278839,-112.709549
36.16282654,-112.7093735
36.16272354,-112.7091675
36.16248322,-112.7092285
36.16242599,-112.7092514
36.16257858,-112.709259
36.16263962,-112.7093506
36.16262436,-112.7093964
36.16251373,-112.7095184
36.16250229,-112.7094421
36.16248322,-112.7094269
36.16245651,-112.7095032
36.16235352,-112.7094498
36.16239166,-112.7095413
36.16230011,-112.709549
36.16231537,-112.7096252
36.16236877,-112.7097778
36.16228485,-112.7096787
36.16213608,-112.7096939
36.16197968,-112.7097092
36.16183853,-112.7096481
36.16168976,-112.7096558
36.16154099,-112.7096634
36.16139221,-112.7096634
36.16129684,-112.709671
36.16130447,-112.7098541
36.16130066,-112.7100067
36.16139603,-112.7099762
36.16152954,-112.7100372
36.16166687,-112.7101135
36.16175079,-112.7101822
36.16190338,-112.7103195
36.16190338,-112.7104263
36.16201782,-112.710556
36.16212845,-112.710701
36.16223145,-112.7108841
36.16228867,-112.7111054
36.16234207,-112.7112808
36.16247177,-112.7114182
36.16255951,-112.7116013
36.16260147,-112.711731
36.16260529,-112.7117462
36.16254425,-112.7119293
36.16246033,-112.7120514
36.16238022,-112.7121811
36.16235352,-112.7122192
36.1623497,-112.7122269
36.16236115,-112.7122116
36.16236877,-112.7121658
36.16236877,-112.7121735
36.16239166,-112.7121887
36.16239929,-112.7121887
36.16232681,-112.7121353
36.16232681,-112.7121353
36.16232681,-112.7121429
36.16235352,-112.712204
36.16235352,-112.712204
36.16235733,-112.7122116
36.16235733,-112.7122192
36.16238403,-112.7123184
36.16239929,-112.7124329
36.16244888,-112.7125397
36.16251373,-112.7126846
36.16257477,-112.7128296
